Story,Pier,CaseCombo,Location,P,V2,V3,T,M2,M3
T2,C31,EULS Max,0,-2973.3952527909155,34.796997356892575,54.688983323649865,0.7766659443937064,176.73835082705978,102.45988699657985
T2,C31,EULS Max,2.25,-2958.2255879784157,34.796997356892575,54.688983323649865,0.7766659443937064,53.688138348847595,24.166642943571542
T2,C31,EULS Max,4.5,-2943.0559231659154,34.796997356892575,54.688983323649865,0.7766659443937064,90.39341702478043,47.66405200085261
T2,C31,EULS Min,0,-3818.448367943358,-30.6413590435653,-58.993539249351116,-0.9484294766793285,-175.07750959729958,-90.22206369519125
T2,C31,EULS Min,2.25,-3803.278703130858,-30.6413590435653,-58.993539249351116,-0.9484294766793285,-42.34204628625958,-21.279005847169326
T2,C31,EULS Min,4.5,-3788.1090383183578,-30.6413590435653,-58.993539249351116,-0.9484294766793285,-69.36207412936457,-54.12660110943676
T2,C32,EULS Max,0,-1038.3813830287802,8.992164992654587,47.69865318515361,0.48302194881150934,152.71386590353802,39.545244427536815
T2,C32,EULS Max,2.125,-1026.91985850378,8.992164992654587,47.69865318515361,0.48302194881150934,51.3542278850866,21.48586266704779
T2,C32,EULS Max,4.25,-1015.45833397878,8.992164992654587,47.69865318515361,0.48302194881150934,33.85370982127456,53.279335765584044
T2,C32,EULS Min,0,-1399.4630034574172,-26.526158383108303,-39.21675995983913,-0.5898446525726685,-132.81752000804175,-60.52141742758337
T2,C32,EULS Min,2.125,-1388.0014789324173,-26.526158383108303,-39.21675995983913,-0.5898446525726685,-49.48190509338359,-6.868232254708501
T2,C32,EULS Min,4.25,-1376.539954407417,-26.526158383108303,-39.21675995983913,-0.5898446525726685,-50.00541013336482,1.328543208754823
T2,C33,EULS Max,0,-2998.250772595541,30.380080345637086,96.99439349631335,0.8475214168585542,359.4040481739968,83.69282411962455
T2,C33,EULS Max,2.125,-2982.2046382605413,30.380080345637086,96.99439349631335,0.8475214168585542,153.29096199433096,19.13515338514573
